pageid,title,wikidata,label
364813,Bashar al-Assad,Q44329,Bashar al-Assad
6049070,Asma al-Assad,Q231637,Asma al-Assad
9124133,Najah al-Attar,Q686595,Najah al-Attar
22118304,Ali Abdul Karim,Q4724539,Ali Abdul Karim
31570824,Mohammed Abdul Sattar,Q6892847,Mohammed Abdul Sattar
31587310,Mansour Fadlallah Azzam,Q6751840,Mansour Fadlallah Azzam
33335984,Faisal Mekdad,Q5431067,Faisal Mekdad
38382329,Ali Abdullah Ayyoub,Q4724546,Ali Abdullah Ayyoub
44024433,Lubanah Mshaweh,Q18217778,Lubanah Mshaweh
55373338,Hammouda Sabbagh,Q41229317,Hammouda Sabbagh
64251436,Hussein Arnous,Q60455401,Hussein Arnous
67157178,Bassam Tohme,Q98798481,Bassam Tohme
67756645,Abdullah Sallum Abdullah,Q107042002,Abdullah Sallum Abdullah
68317817,Bassam al-Sabbagh,Q55104096,Bassam Alsabbagh
69079171,Mohammad Khaled al-Rahmoun,Q85874875,Mohammad Khaled al-Rahmoun
69082384,Diala Barakat,Q109026826,Diala Barakat
69313765,Ghassan al-Zamel,Q98798533,Ghassan al-Zamel
69359048,Ahmad al-Sayyed,Q98798381,Ahmad al-Sayyed
69376833,Kenan Yaghi,Q98807064,Kenan Yaghi
69377041,Mohammad Samer al-Khalil,Q60572925,Mohammad Samer al-Khalil
69458467,Amr Salem,Q108092707,Amr Salem
69458620,Ziyad Sabbagh,Q98798540,Ziyad Sabbagh
69458655,Zouhair Khazim,Q98798467,Zouhair Khazim
69473615,Tammam Raad,Q98798395,Tammam Raad
69508603,Iyad Mohammad al-Khatib,Q110093859,Iyad Mohammad al-Khatib
69508719,Mohamed Seif El-Din,Q109117280,Mohamed Seif El-Din
69531835,Mohammed Hassan Qatana,Q98798493,Mohammed Hassan Qatana
69531866,Suhail Mohammad Abdullatif,Q110158344,Suhail Mohammad Abdullatif
69531914,Hussein Makhlouf,Q60455444,Hussein Makhlouf
69531990,Boutros Al-Hallaq,Q110158645,Boutros Al-Hallaq
69538641,Hassan al-Ghabbash,Q98798488,Hassan al-Ghabbash
69538676,Darem Tabbaa,Q98796946,Darem Tabbaa
69538724,Bassam Bashir Ibrahim,Q98798423,Bassam Bashir Ibrahim
69538805,Mohammad Rami Radwan Martini,Q98798457,Mohamed Martini
69538840,Salam Safaf,Q98798433,Salam Safaf
69538935,Mohammad Fayez al-Barasha,Q110176262,Mohammad Fayez al-Barasha
70652586,Ali Mahmoud Abbas,Q111748038,Ali Mahmoud Abbas
